"Age at enrollment","Application order","1st sem (credited)","1st sem (enrolled)","1st sem (evaluations)","1st sem (approved)","1st sem (grade)","1st sem (without evaluations)","2nd sem (credited)","2nd sem (enrolled)","2nd sem (evaluations)","2nd sem (approved)","2nd sem (grade)","2nd sem (without evaluations)","Unemployment rate","Inflation rate","GDP","Target","Marital status","Gender","Daytime/evening attendance","Displaced","Educational special needs","Debtor","Tuition fees up to date","Scholarship holder","International","Application mode","Nationality","Course","Previous qualification","Mother's qualification","Father's qualification","Mother's occupation","Father's ocupation"
18,1,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,Single,Female,Daytime,Yes,No,No,Yes,No,No,"3rd phase—general contingent",Portuguese,Social Service,Secondary education,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers
18,2,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,Single,Female,Daytime,Yes,No,No,Yes,No,No,"2nd phase—general contingent",Portuguese,Nursing,Secondary education,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers, and Sellers",Administrative staff
20,1,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,Single,Female,Daytime,Yes,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Equiniculture,Secondary education,Higher Education—degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers, and Sellers"
18,1,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,Single,Female,Daytime,Yes,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Basic Education,Secondary education,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen"
21,3,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,Single,Female,Daytime,No,No,No,Yes,Yes,No,"1st phase—general contingent",Portuguese,Animation and Multimedia Design,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Installation and Machine Operators and Assembly Workers
20,4,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,Single,Female,Daytime,Yes,No,No,Yes,No,No,"3rd phase—general contingent",Portuguese,Oral Hygiene,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen"
18,4,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,Single,Female,Daytime,Yes,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Nursing,Secondary education,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers"
19,4,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,Single,Female,Daytime,Yes,No,No,Yes,Yes,No,"1st phase—general contingent",Portuguese,Advertising and Marketing Management,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen"
19,1,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,Single,Female,Daytime,No,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Nursing,Secondary education,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction, and Craftsmen"
18,1,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,Single,Female,Daytime,Yes,No,Yes,Yes,Yes,No,"1st phase—general contingent",Portuguese,Social Service,Secondary education,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers
21,2,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,Single,Female,Daytime,Yes,No,No,Yes,No,No,"2nd phase—general contingent",Portuguese,Social Service,Secondary education,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen",Installation and Machine Operators and Assembly Workers
18,1,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,Single,Female,Daytime,Yes,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Veterinary Nursing,Secondary education,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions
20,1,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,Single,Female,Daytime,Yes,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Management,Secondary education,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers
19,2,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled,Single,Male,Daytime,Yes,No,No,Yes,No,No,"2nd phase—general contingent",Portuguese,Nursing,Secondary education,Higher Education—degree,Higher Education—degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Armed Forces Professions
21,1,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled,Single,Male,Daytime,No,No,No,Yes,No,No,Technological specialization diploma holders,Portuguese,Agronomy,Technological specialization course,Higher Education—master’s degree,Higher Education—doctorate,Administrative staff,Specialists in Intellectual and Scientific Activities
20,1,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,Single,Male,Daytime,Yes,No,No,Yes,No,No,Change in institution/course,Portuguese,Communication Design,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Higher Education—degree,Other Armed Forces personnel,"Specialists in finance, accounting, administrative organization, and public and commercial relations"
18,1,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,Single,Male,Daytime,No,No,No,No,No,No,"1st phase—general contingent",Portuguese,Management,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry"
19,1,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,Single,Female,Evening,Yes,No,No,Yes,No,No,"3rd phase—general contingent",Portuguese,Social Service (evening attendance),Secondary education,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers"
34,1,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,Single,Male,Evening,No,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Management (evening attendance),Secondary education,Higher Education—bachelor’s degree,Basic education 1st cycle (4th/5th year) or equivalent,Intermediate Level Technicians and Professions,Unskilled Workers
37,1,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,Single,Male,Daytime,No,No,Yes,No,No,No,Over 23 years old,Portuguese,Biofuel Production Technologies,Secondary education,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry"
43,1,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,Single,Male,Daytime,Yes,No,No,Yes,No,No,Over 23 years old,Portuguese,Informatics Engineering,"11th year of schooling—not completed","2nd cycle of the general high school course",Basic education 1st cycle (4th/5th year) or equivalent,Student,Student
55,1,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,Single,Female,Daytime,No,No,No,Yes,No,No,Change in course,Portuguese,Management,Secondary education,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry"
39,1,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,Divorced,Female,Evening,Yes,No,No,Yes,No,No,Over 23 years old,Portuguese,Management (evening attendance),Secondary education,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Intermediate Level Technicians and Professions
20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,Single,Female,Daytime,No,No,Yes,No,No,Yes,Technological specialization diploma holders,Spanish,Equiniculture,Technological specialization course,Higher Education—master’s degree,Higher Education—master’s degree,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry"
18,5,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,Single,Female,Daytime,No,No,Yes,Yes,No,No,"1st phase—general contingent",Portuguese,Journalism and Communication,Secondary education,Higher Education—degree,Higher Education—degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities
22,2,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,Single,Female,Daytime,Yes,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Management,Secondary education,Higher Education—degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction, and Craftsmen"
22,6,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate,Single,Female,Daytime,Yes,Yes,No,Yes,No,No,"1st phase—general contingent",Portuguese,Nursing,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities
20,1,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,Single,Female,Daytime,No,No,No,No,No,No,"2nd phase—general contingent",Portuguese,Journalism and Communication,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers"
29,1,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,Single,Female,Evening,No,No,No,Yes,No,No,Over 23 years old,Portuguese,Management (evening attendance),Secondary education,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,Unskilled Workers
24,1,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled,Single,Female,Evening,No,No,No,Yes,No,No,"2nd phase—general contingent",Portuguese,Management (evening attendance),Secondary education,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers"
18,2,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,Single,Female,Daytime,Yes,No,No,Yes,No,No,"2nd phase—general contingent",Portuguese,Social Service,Secondary education,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers
22,6,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,Single,Female,Daytime,Yes,No,No,Yes,Yes,No,"2nd phase—general contingent",Portuguese,Nursing,Secondary education,General Course of Administration and Commerce,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen"
21,1,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,Single,Female,Evening,No,No,No,Yes,Yes,No,Technological specialization diploma holders,Portuguese,Social Service (evening attendance),Technological specialization course,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers
19,1,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,Single,Female,Daytime,No,No,No,Yes,Yes,No,"1st phase—general contingent",Portuguese,Social Service,Secondary education,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers
24,1,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,Single,Female,Daytime,No,No,No,Yes,Yes,No,Over 23 years old,Portuguese,Tourism,Secondary education,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen"
19,1,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled,Single,Female,Daytime,Yes,No,No,Yes,Yes,No,"1st phase—general contingent",Portuguese,Nursing,Secondary education,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry"
20,1,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,Single,Female,Daytime,Yes,No,No,Yes,Yes,No,"1st phase—general contingent",Portuguese,Journalism and Communication,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen"
19,3,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,Single,Female,Daytime,No,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Equiniculture,Secondary education,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Other Situation,Other Situation
27,1,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,Single,Female,Evening,No,No,No,Yes,No,No,Over 23 years old,Portuguese,Management (evening attendance),Secondary education,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers
18,1,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,Single,Female,Daytime,Yes,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Nursing,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers"
39,1,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,Married,Female,Daytime,No,No,No,Yes,No,No,Holders of other higher courses,Portuguese,Tourism,Higher education—degree,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,Administrative staff,Intermediate Level Technicians and Professions
27,1,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,Single,Female,Daytime,Yes,No,No,Yes,No,No,Over 23 years old,Portuguese,Equiniculture,Higher education—degree (1st cycle),Higher Education—degree,Higher Education—degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities
18,1,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,Single,Female,Daytime,Yes,No,No,Yes,No,No,"2nd phase—general contingent",Portuguese,Nursing,Secondary education,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions
18,3,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,Single,Female,Daytime,Yes,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Animation and Multimedia Design,Secondary education,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,Administrative staff,Unskilled Workers
18,2,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate,Single,Female,Daytime,No,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Nursing,Secondary education,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers
21,1,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,Single,Female,Daytime,No,No,No,Yes,Yes,No,Technological specialization diploma holders,Portuguese,Social Service,Technological specialization course,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers
19,3,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,Single,Male,Daytime,Yes,No,No,Yes,Yes,No,"2nd phase—general contingent",Portuguese,Animation and Multimedia Design,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Basic education 1st cycle (4th/5th year) or equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen"
19,1,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled,Single,Male,Daytime,Yes,No,No,Yes,No,No,"2nd phase—general contingent",Portuguese,Communication Design,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Administrative staff
24,1,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,Single,Male,Daytime,No,No,No,Yes,No,No,Change in course,Portuguese,Communication Design,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions
29,1,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,Divorced,Male,Daytime,Yes,No,No,Yes,No,No,Transfer,Portuguese,Nursing,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers"
19,3,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,Single,Male,Daytime,Yes,No,No,Yes,Yes,No,"1st phase—general contingent",Portuguese,Animation and Multimedia Design,Secondary education,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers, and Sellers",Intermediate Level Technicians and Professions
23,1,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,Single,Male,Daytime,Yes,No,No,Yes,No,No,Technological specialization diploma holders,Portuguese,Agronomy,Technological specialization course,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,Unskilled Workers
19,3,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,Single,Male,Daytime,No,No,Yes,Yes,No,No,"1st phase—general contingent",Portuguese,Management,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen"
26,1,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,Single,Male,Daytime,No,No,No,Yes,No,No,Over 23 years old,Portuguese,Tourism,Secondary education,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions
18,1,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,Single,Male,Daytime,No,No,No,Yes,No,No,"2nd phase—general contingent",Portuguese,Management,Secondary education,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers"
24,1,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,Single,Male,Daytime,No,No,No,Yes,No,No,"2nd phase—general contingent",Portuguese,Nursing,Secondary education,General Course of Administration and Commerce,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Installation and Machine Operators and Assembly Workers,Administrative staff
19,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,Single,Male,Daytime,Yes,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Animation and Multimedia Design,Secondary education,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers, and Sellers",Armed Forces Professions
18,4,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,Single,Male,Daytime,Yes,No,No,Yes,No,No,"2nd phase—general contingent",Portuguese,Tourism,Secondary education,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen"
